slug,drug,market_price,fair_price,p_ever,p_on_time,gap_fair_minus_market,abs_gap,direction,top_holder_pct,n_trades,depth_ok,rationale
fda-approves-kiniksa-regeneron-arcalyst-06-19-2026,Arcalyst (rilonacept),0.9,0.7896,0.84,0.94,-0.1104,0.1104,market RICH vs base rate,0.2407,39,True,base first-cycle approval 0.84; => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-arcutis-zoryve-cream-06-29-2026,Zoryve (roflumilast) cream 0.3%,0.89,0.7896,0.84,0.94,-0.1004,0.1004,market RICH vs base rate,0.2588,53,True,base first-cycle approval 0.84; => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-ionis-olezarsen-06-30-2026,Tryngolza (olezarsen),0.88,0.7896,0.84,0.94,-0.0904,0.0904,market RICH vs base rate,0.4291,33,True,base first-cycle approval 0.84; priority_review (+0.00 logodds); => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-gsk-spero-therapeutics-tebipenem-hbr-06-18-2026,tebipenem pivoxil hydrobromide (tebipenem HBr),0.715,0.7896,0.84,0.94,0.0746,0.0746,market CHEAP vs base rate,0.2157,55,True,base first-cycle approval 0.84; => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-viridian-therapeutics-veligrotug-06-30-2026,veligrotug (VRDN-001),0.73,0.7896,0.84,0.94,0.0596,0.0596,market CHEAP vs base rate,0.3915,38,True,base first-cycle approval 0.84; priority_review (+0.00 logodds); => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-merck-welireg-keytruda-or-keytruda-qlex-06-19-2026,Welireg (belzutifan) + Keytruda (pembrolizumab) / Keytruda Qlex,0.835,0.7896,0.84,0.94,-0.0454,0.0454,market RICH vs base rate,0.2746,16,False,base first-cycle approval 0.84; priority_review (+0.00 logodds); => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-camurus-oclaiz-06-10-2026,"Oclaiz (octreotide SC depot, CAM2029)",0.825,0.7896,0.84,0.94,-0.0354,0.0354,market RICH vs base rate,0.1573,27,False,base first-cycle approval 0.84; => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-unicycive-oxylanthanum-carbonate-06-29-2026,oxylanthanum carbonate (OLC),0.77,0.7896,0.84,0.94,0.0196,0.0196,market CHEAP vs base rate,0.2213,63,True,base first-cycle approval 0.84; => P(approved)=0.84; => P(on time)=0.94; fair=0.790
fda-approves-retatrutide-this-year,"Retatrutide (LY3437943, GGG triple agonist)",0.125,N/A,0.84,N/A,N/A,-1.0,benchmark N/A (open-ended year market),0.1015,1000,True,benchmark N/A: open-ended year-end market with no firm PDUFA decision dated in-window — base rate does not apply (no pending decision signal)
fda-approves-daraxonrasib-this-year,Daraxonrasib (RMC-6236),0.71,N/A,0.84,N/A,N/A,-1.0,benchmark N/A (open-ended year market),0.2807,10,False,benchmark N/A: open-ended year-end market with no firm PDUFA decision dated in-window — base rate does not apply (no pending decision signal)
