slug,n_trades,largest_trade_size,unique_traders,n_top_holders,top_holder_pct
fda-approves-camurus-oclaiz-06-10-2026,27,790.99,20,25.0,0.1573
fda-approves-gsk-spero-therapeutics-tebipenem-hbr-06-18-2026,55,853.91,35,20.0,0.2157
fda-approves-merck-welireg-keytruda-or-keytruda-qlex-06-19-2026,16,70.0,14,10.0,0.2746
fda-approves-kiniksa-regeneron-arcalyst-06-19-2026,39,770.0,24,11.0,0.2407
fda-approves-arcutis-zoryve-cream-06-29-2026,53,1349.07,24,33.0,0.2588
fda-approves-unicycive-oxylanthanum-carbonate-06-29-2026,63,556.61,34,18.0,0.2213
fda-approves-viridian-therapeutics-veligrotug-06-30-2026,38,619.67,24,15.0,0.3915
fda-approves-ionis-olezarsen-06-30-2026,33,388.39,18,17.0,0.4291
fda-approves-retatrutide-this-year,1000,22059.0,383,153.0,0.1015
fda-approves-daraxonrasib-this-year,10,22.0,7,9.0,0.2807
fda-approves-mercks-clesrovimab-infant-rsv-prevention-mk1654,99,3050.0,65,2.0,0.5898
fda-approves-gileads-lenacapavir-for-treating-hiv-human-immunodeficiency-virus,55,561.23,34,,
fda-approves-regenerons-dupixent-for-bullous-pemphigoid,43,400.0,26,3.0,0.5496
fda-approves-unicycives-oxylanthanum-carbonate-olc,111,254.84,54,2.0,0.5549
fda-approves-lenz-therapeutics-lnz100-for-presbyopia-by-august-31,25,2255.0,15,2.0,0.8265
fda-approves-pharmather-holdings-ketamine-by-august-31,59,2101.0,31,6.0,0.4169
fda-approves-insmeds-brensocatib-for-bronchiectasis-by-august-31,56,390.0,36,6.0,0.4249
fda-approves-tonix-pharmaceuticals-tnx-102-sl-for-fibromyalgia-by-august-31,35,194.0,22,3.0,0.5156
fda-approves-ux111,389,2472.87,222,11.0,0.2961
fda-approves-dordaviprone,51,3134.0,28,5.0,0.3847
fda-approves-eylea-hd-by-august-31,116,846.91,61,11.0,0.7618
fda-approves-ptc-therapeutics-vatiquinone-for-friedreichs-ataxia-by-august-31,25,675.0,14,3.0,0.8378
fda-approves-donidalorsen-for-hereditary-angioedema-by-august-31,49,915.0,28,5.0,0.7748
fda-approves-telix-pharmaceuticals-tlx250-cdx-for-kidney-cancer-imaging-by-august-31,80,291.79,46,13.0,0.4572
fda-approves-precigens-prgn-2012-for-recurrent-respiratory-papillomatosis-by-august-31,26,3609.5,13,4.0,0.5799
fda-approves-filspari-rems-modification-for-igan-by-august-31,30,335.83,17,2.0,0.9122
fda-approves-sanofis-rilzabrutinib-for-immune-thrombocytopenia-by-august-31,75,430.66,47,6.0,0.4618
fda-approves-outlook-therapeutics-ons-5010-for-wet-amd-by-august-31,46,1103.37,25,2.0,0.5491
fda-approves-leqembi-auto-injection-for-early-alzheimers-by-august-31,36,852.55,23,5.0,0.5058
fda-approves-capricor-therapeutics-cap-1002-for-duchenne-muscular-dystrophy-by-august-31,14,1700.0,7,,
fda-approves-grace-therapeutics-gtx-104,72,1736.98,43,17.0,0.3672
fda-approves-sanofis-sarclisa,149,2241.0,65,23.0,0.7218
fda-approves-sanofis-dupixent,63,1167.48,31,19.0,0.5109
fda-approves-mercks-doravirineislatravir,12,321.65,7,6.0,0.4171
fda-approves-sanofis-tzield,8,199.9,4,4.0,0.6214
fda-approves-axsome-therapeutics-axs-05,30,994.23,21,9.0,0.7622
fda-approves-astrazenecas-truqap-capivasertib,152,1878.99,37,9.0,0.3667
fda-approves-astrazenecas-camizestrant,112,513.51,62,15.0,0.4856
fda-approves-argenxs-vyvgart,68,1500.0,39,14.0,0.3032
fda-approves-daiichi-sankyo-astrazenecas-enhertu,69,310.0,37,19.0,0.255
fda-approves-mannkinds-afrezza,77,880.0,41,16.0,0.347
fda-approves-cingulates-ctx-1301,212,1199.05,99,32.0,0.3322
fda-approves-arvinas-vepdegestrant-06-05-2026,68,8888.0,22,11.0,0.6352
fda-approves-a-psychedelic-for-medical-use-in-2026,309,3212.8,129,30.0,0.3883
