t_unix,date_utc,yes_price
1776816009,2026-04-22 00:00,0.405
1776902413,2026-04-23 00:00,0.365
1776988823,2026-04-24 00:00,0.355
1777075213,2026-04-25 00:00,0.355
1777161607,2026-04-26 00:00,0.325
1777248008,2026-04-27 00:00,0.355
1777334409,2026-04-28 00:00,0.355
1777420807,2026-04-29 00:00,0.445
1777507213,2026-04-30 00:00,0.44
1777593608,2026-05-01 00:00,0.465
1777680006,2026-05-02 00:00,0.425
1777766406,2026-05-03 00:00,0.46
1777852805,2026-05-04 00:00,0.48
1777939219,2026-05-05 00:00,0.555
1778025609,2026-05-06 00:00,0.46
