t_unix,date_utc,yes_price
1776816005,2026-04-22 00:00,0.235
1776902405,2026-04-23 00:00,0.19
1776988818,2026-04-24 00:00,0.26
1777075210,2026-04-25 00:00,0.235
1777161604,2026-04-26 00:00,0.345
1777248004,2026-04-27 00:00,0.285
1777334404,2026-04-28 00:00,0.295
1777420803,2026-04-29 00:00,0.195
1777507205,2026-04-30 00:00,0.095
1777593604,2026-05-01 00:00,0.085
1777680004,2026-05-02 00:00,0.05
1777766406,2026-05-03 00:00,0.0715
1777852804,2026-05-04 00:00,0.04
1777939217,2026-05-05 00:00,0.0755
1778025606,2026-05-06 00:00,0.0445
1778112005,2026-05-07 00:00,0.05
1778198403,2026-05-08 00:00,0.032
1778284822,2026-05-09 00:00,0.031
1778371204,2026-05-10 00:00,0.006
1778457608,2026-05-11 00:00,0.056
1778544004,2026-05-12 00:00,0.0735
1778630408,2026-05-13 00:00,0.0755
1778716808,2026-05-14 00:00,0.075
1778803206,2026-05-15 00:00,0.0315
1778889612,2026-05-16 00:00,0.031
