t_unix,date_utc,yes_price
1779321605,2026-05-21 00:00,0.605
1779408009,2026-05-22 00:00,0.315
1779494406,2026-05-23 00:00,0.475
1779580804,2026-05-24 00:00,0.475
1779667204,2026-05-25 00:00,0.505
1779753604,2026-05-26 00:00,0.325
1779840005,2026-05-27 00:00,0.38
1779926405,2026-05-28 00:00,0.11
1780012807,2026-05-29 00:00,0.37
1780099218,2026-05-30 00:00,0.205
1780185607,2026-05-31 00:00,0.0155
1780272003,2026-06-01 00:00,0.1055
1780358405,2026-06-02 00:00,0.058
1780444805,2026-06-03 00:00,0.0005
