t_unix,date_utc,yes_price
1777593608,2026-05-01 00:00,0.805
1777680006,2026-05-02 00:00,0.695
1777766406,2026-05-03 00:00,0.78
1777852805,2026-05-04 00:00,0.785
1777939219,2026-05-05 00:00,0.78
1778025609,2026-05-06 00:00,0.78
1778112009,2026-05-07 00:00,0.78
1778198405,2026-05-08 00:00,0.79
1778284823,2026-05-09 00:00,0.79
1778371207,2026-05-10 00:00,0.795
1778457610,2026-05-11 00:00,0.795
1778544010,2026-05-12 00:00,0.79
1778630412,2026-05-13 00:00,0.79
1778716816,2026-05-14 00:00,0.79
1778803209,2026-05-15 00:00,0.79
1778889616,2026-05-16 00:00,0.97
