t_unix,date_utc,yes_price
1778716823,2026-05-14 00:00,0.5
1778803213,2026-05-15 00:00,0.7
1778889621,2026-05-16 00:00,0.705
1778976031,2026-05-17 00:00,0.705
1779062416,2026-05-18 00:00,0.7
1779148811,2026-05-19 00:00,0.5
1779235215,2026-05-20 00:00,0.515
1779321617,2026-05-21 00:00,0.53
1779408029,2026-05-22 00:00,0.55
1779494414,2026-05-23 00:00,0.59
1779580809,2026-05-24 00:00,0.595
1779667210,2026-05-25 00:00,0.6
1779753610,2026-05-26 00:00,0.61
1779840010,2026-05-27 00:00,0.61
1779926414,2026-05-28 00:00,0.675
1780012818,2026-05-29 00:00,0.605
1780099224,2026-05-30 00:00,0.655
1780185614,2026-05-31 00:00,0.7
1780272009,2026-06-01 00:00,0.675
1780358410,2026-06-02 00:00,0.68
1780444810,2026-06-03 00:00,0.685
1780531206,2026-06-04 00:00,0.68
1780617619,2026-06-05 00:00,0.68
1780704005,2026-06-06 00:00,0.68
1780790416,2026-06-07 00:00,0.7
1780876806,2026-06-08 00:00,0.69
1780963208,2026-06-09 00:00,0.69
1781027044,2026-06-09 17:44,0.705
