t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.73
1753920008,2025-07-31 00:00,0.68
1754006409,2025-08-01 00:00,0.695
1754092809,2025-08-02 00:00,0.77
1754179208,2025-08-03 00:00,0.835
1754265607,2025-08-04 00:00,0.435
1754352008,2025-08-05 00:00,0.595
1754438409,2025-08-06 00:00,0.49
1754524808,2025-08-07 00:00,0.495
1754611210,2025-08-08 00:00,0.535
1754697605,2025-08-09 00:00,0.45
1754784009,2025-08-10 00:00,0.43
1754870403,2025-08-11 00:00,0.52
1754956809,2025-08-12 00:00,0.49
1755043203,2025-08-13 00:00,0.515
1755129604,2025-08-14 00:00,0.46
1755216002,2025-08-15 00:00,0.445
1755302407,2025-08-16 00:00,0.565
1755388812,2025-08-17 00:00,0.41
1755475209,2025-08-18 00:00,0.505
1755561608,2025-08-19 00:00,0.63
1755648007,2025-08-20 00:00,0.49
1755734410,2025-08-21 00:00,0.505
