t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.785
1753920008,2025-07-31 00:00,0.46
1754006409,2025-08-01 00:00,0.695
1754092809,2025-08-02 00:00,0.76
1754179208,2025-08-03 00:00,0.465
1754265607,2025-08-04 00:00,0.425
1754352008,2025-08-05 00:00,0.375
1754438409,2025-08-06 00:00,0.425
1754524803,2025-08-07 00:00,0.415
1754611206,2025-08-08 00:00,0.39
1754697613,2025-08-09 00:00,0.4
1754784005,2025-08-10 00:00,0.425
1754870411,2025-08-11 00:00,0.515
1754956807,2025-08-12 00:00,0.515
1755043210,2025-08-13 00:00,0.52
1755129602,2025-08-14 00:00,0.5
1755216011,2025-08-15 00:00,0.41
1755302410,2025-08-16 00:00,0.41
1755388810,2025-08-17 00:00,0.4
1755475209,2025-08-18 00:00,0.46
1755561610,2025-08-19 00:00,0.55
1755648003,2025-08-20 00:00,0.375
1755734406,2025-08-21 00:00,0.051
1755820809,2025-08-22 00:00,0.026
1755907202,2025-08-23 00:00,0.026
1755993604,2025-08-24 00:00,0.026
1756080015,2025-08-25 00:00,0.015
1756166409,2025-08-26 00:00,0.016
1756252803,2025-08-27 00:00,0.015
1756339204,2025-08-28 00:00,0.0055
1756425612,2025-08-29 00:00,0.002
1756512002,2025-08-30 00:00,0.002
1756598407,2025-08-31 00:00,0.0145
1756684811,2025-09-01 00:00,0.0385
