t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.645
1753920008,2025-07-31 00:00,0.67
1754006409,2025-08-01 00:00,0.795
1754092809,2025-08-02 00:00,0.675
1754179208,2025-08-03 00:00,0.67
1754265607,2025-08-04 00:00,0.67
1754352008,2025-08-05 00:00,0.67
1754438409,2025-08-06 00:00,0.675
1754524811,2025-08-07 00:00,0.675
1754611205,2025-08-08 00:00,0.675
1754697608,2025-08-09 00:00,0.67
1754784005,2025-08-10 00:00,0.6
1754870402,2025-08-11 00:00,0.5
1754956808,2025-08-12 00:00,0.495
1755043211,2025-08-13 00:00,0.505
1755129606,2025-08-14 00:00,0.475
1755216012,2025-08-15 00:00,0.58
1755302403,2025-08-16 00:00,0.725
1755388813,2025-08-17 00:00,0.685
1755475209,2025-08-18 00:00,0.73
1755561602,2025-08-19 00:00,0.73
1755648004,2025-08-20 00:00,0.735
1755734402,2025-08-21 00:00,0.595
1755820808,2025-08-22 00:00,0.61
1755907209,2025-08-23 00:00,0.725
1755993609,2025-08-24 00:00,0.64
1756080015,2025-08-25 00:00,0.64
1756166406,2025-08-26 00:00,0.62
1756252807,2025-08-27 00:00,0.625
1756339209,2025-08-28 00:00,0.5
1756425617,2025-08-29 00:00,0.995
