t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.77
1753920008,2025-07-31 00:00,0.775
1754006409,2025-08-01 00:00,0.745
1754092809,2025-08-02 00:00,0.88
1754179208,2025-08-03 00:00,0.86
1754265607,2025-08-04 00:00,0.6
1754352008,2025-08-05 00:00,0.75
1754438409,2025-08-06 00:00,0.66
1754524809,2025-08-07 00:00,0.725
1754611202,2025-08-08 00:00,0.785
1754697604,2025-08-09 00:00,0.785
1754784010,2025-08-10 00:00,0.785
1754870414,2025-08-11 00:00,0.8
1754956806,2025-08-12 00:00,0.77
1755043207,2025-08-13 00:00,0.9995
