t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.77
1753920008,2025-07-31 00:00,0.675
1754006409,2025-08-01 00:00,0.715
1754092809,2025-08-02 00:00,0.79
1754179208,2025-08-03 00:00,0.785
1754265607,2025-08-04 00:00,0.515
1754352008,2025-08-05 00:00,0.5
1754438409,2025-08-06 00:00,0.495
1754524807,2025-08-07 00:00,0.495
1754611206,2025-08-08 00:00,0.9
1754697604,2025-08-09 00:00,0.76
1754784007,2025-08-10 00:00,0.765
1754870408,2025-08-11 00:00,0.755
1754956808,2025-08-12 00:00,0.72
1755043204,2025-08-13 00:00,0.77
1755129606,2025-08-14 00:00,0.79
1755216003,2025-08-15 00:00,0.895
1755302408,2025-08-16 00:00,0.69
1755388812,2025-08-17 00:00,0.73
1755475209,2025-08-18 00:00,0.685
1755561608,2025-08-19 00:00,0.7
1755648004,2025-08-20 00:00,0.74
1755734406,2025-08-21 00:00,0.845
1755820809,2025-08-22 00:00,0.56
1755907205,2025-08-23 00:00,0.765
1755993608,2025-08-24 00:00,0.85
1756080006,2025-08-25 00:00,0.855
1756166408,2025-08-26 00:00,0.85
1756252802,2025-08-27 00:00,0.86
1756339206,2025-08-28 00:00,0.86
1756425610,2025-08-29 00:00,0.875
1756512005,2025-08-30 00:00,0.85
