t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.685
1753920008,2025-07-31 00:00,0.665
1754006409,2025-08-01 00:00,0.655
1754092809,2025-08-02 00:00,0.66
1754179208,2025-08-03 00:00,0.695
1754265607,2025-08-04 00:00,0.695
1754352008,2025-08-05 00:00,0.585
1754438409,2025-08-06 00:00,0.575
1754524802,2025-08-07 00:00,0.575
1754611209,2025-08-08 00:00,0.585
1754697608,2025-08-09 00:00,0.58
1754784010,2025-08-10 00:00,0.58
1754870411,2025-08-11 00:00,0.505
1754956807,2025-08-12 00:00,0.505
1755043209,2025-08-13 00:00,0.505
1755129604,2025-08-14 00:00,0.525
1755216013,2025-08-15 00:00,0.72
1755302407,2025-08-16 00:00,0.74
1755388804,2025-08-17 00:00,0.735
1755475204,2025-08-18 00:00,0.7
1755561606,2025-08-19 00:00,0.76
1755648007,2025-08-20 00:00,0.75
1755734405,2025-08-21 00:00,0.555
1755820802,2025-08-22 00:00,0.425
1755907206,2025-08-23 00:00,0.465
1755993610,2025-08-24 00:00,0.24
1756080013,2025-08-25 00:00,0.27
1756166402,2025-08-26 00:00,0.215
1756252808,2025-08-27 00:00,0.175
1756339208,2025-08-28 00:00,0.48
1756425615,2025-08-29 00:00,0.0005
