t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.745
1753920008,2025-07-31 00:00,0.75
1754006409,2025-08-01 00:00,0.72
1754092809,2025-08-02 00:00,0.65
1754179208,2025-08-03 00:00,0.66
1754265607,2025-08-04 00:00,0.66
1754352008,2025-08-05 00:00,0.66
1754438409,2025-08-06 00:00,0.665
1754524806,2025-08-07 00:00,0.665
1754611210,2025-08-08 00:00,0.66
1754697602,2025-08-09 00:00,0.665
1754784009,2025-08-10 00:00,0.655
1754870407,2025-08-11 00:00,0.495
1754956803,2025-08-12 00:00,0.65
1755043210,2025-08-13 00:00,0.645
1755129604,2025-08-14 00:00,0.605
1755216006,2025-08-15 00:00,0.605
