t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.67
1753920008,2025-07-31 00:00,0.665
1754006409,2025-08-01 00:00,0.64
1754092809,2025-08-02 00:00,0.655
1754179208,2025-08-03 00:00,0.65
1754265607,2025-08-04 00:00,0.575
1754352008,2025-08-05 00:00,0.58
1754438409,2025-08-06 00:00,0.58
1754524811,2025-08-07 00:00,0.575
1754611202,2025-08-08 00:00,0.58
1754697607,2025-08-09 00:00,0.575
1754784005,2025-08-10 00:00,0.57
1754870410,2025-08-11 00:00,0.535
1754956804,2025-08-12 00:00,0.53
1755043211,2025-08-13 00:00,0.535
1755129605,2025-08-14 00:00,0.505
1755216011,2025-08-15 00:00,0.53
1755302406,2025-08-16 00:00,0.545
1755388812,2025-08-17 00:00,0.53
1755475207,2025-08-18 00:00,0.52
1755561607,2025-08-19 00:00,0.35
