t_unix,date_utc,yes_price
1768262423,2026-01-13 00:00,0.35
1768348824,2026-01-14 00:00,0.175
1768435226,2026-01-15 00:00,0.17
1768521629,2026-01-16 00:00,0.17
1768608025,2026-01-17 00:00,0.145
1768694439,2026-01-18 00:00,0.145
1768780821,2026-01-19 00:00,0.125
1768867223,2026-01-20 00:00,0.125
1768953625,2026-01-21 00:00,0.125
1769040036,2026-01-22 00:00,0.125
1769126442,2026-01-23 00:00,0.125
1769212839,2026-01-24 00:00,0.125
1769299245,2026-01-25 00:00,0.125
1769385645,2026-01-26 00:00,0.125
1769472038,2026-01-27 00:00,0.145
1769558427,2026-01-28 00:00,0.145
1769644842,2026-01-29 00:00,0.145
1769731231,2026-01-30 00:00,0.15
1769817632,2026-01-31 00:00,0.215
1769904038,2026-02-01 00:00,0.3
1769990430,2026-02-02 00:00,0.295
1770076834,2026-02-03 00:00,0.315
1770163243,2026-02-04 00:00,0.185
1770249629,2026-02-05 00:00,0.15
1770336037,2026-02-06 00:00,0.23
1770422445,2026-02-07 00:00,0.275
1770508840,2026-02-08 00:00,0.285
1770595240,2026-02-09 00:00,0.265
1770681642,2026-02-10 00:00,0.285
1770768047,2026-02-11 00:00,0.27
1770854452,2026-02-12 00:00,0.24
1770940842,2026-02-13 00:00,0.21
1771027248,2026-02-14 00:00,0.19
1771113646,2026-02-15 00:00,0.255
1771200057,2026-02-16 00:00,0.205
1771286449,2026-02-17 00:00,0.195
1771372853,2026-02-18 00:00,0.195
1771459255,2026-02-19 00:00,0.235
1771545650,2026-02-20 00:00,0.2
1771632034,2026-02-21 00:00,0.2
1771718434,2026-02-22 00:00,0.2
1771804841,2026-02-23 00:00,0.245
1771891241,2026-02-24 00:00,0.205
1771977647,2026-02-25 00:00,0.185
1772064041,2026-02-26 00:00,0.18
1772150447,2026-02-27 00:00,0.23
1772236846,2026-02-28 00:00,0.21
1772409657,2026-03-02 00:00,0.295
1772496051,2026-03-03 00:00,0.235
1772582452,2026-03-04 00:00,0.135
1772668849,2026-03-05 00:00,0.15
1772755247,2026-03-06 00:00,0.15
1772841652,2026-03-07 00:00,0.15
1772928042,2026-03-08 00:00,0.165
1773014438,2026-03-09 00:00,0.165
1773100846,2026-03-10 00:00,0.175
1773187249,2026-03-11 00:00,0.175
1773273651,2026-03-12 00:00,0.175
1773446442,2026-03-14 00:00,0.31
1773532844,2026-03-15 00:00,0.26
1773619255,2026-03-16 00:00,0.23
1773705636,2026-03-17 00:00,0.23
1773792037,2026-03-18 00:00,0.215
1773878448,2026-03-19 00:00,0.225
1773964842,2026-03-20 00:00,0.225
1774051240,2026-03-21 00:00,0.225
1774137637,2026-03-22 00:00,0.225
1774224031,2026-03-23 00:00,0.225
1774310428,2026-03-24 00:00,0.23
1774396843,2026-03-25 00:00,0.225
1774483246,2026-03-26 00:00,0.23
1774569653,2026-03-27 00:00,0.23
1774656057,2026-03-28 00:00,0.23
1775347217,2026-04-05 00:00,0.295
1775692837,2026-04-09 00:00,0.285
1775952014,2026-04-12 00:00,0.295
1776816009,2026-04-22 00:00,0.165
1776902413,2026-04-23 00:00,0.165
1776988823,2026-04-24 00:00,0.165
1777075213,2026-04-25 00:00,0.155
1777161607,2026-04-26 00:00,0.135
1777248008,2026-04-27 00:00,0.145
1777334409,2026-04-28 00:00,0.145
1777420807,2026-04-29 00:00,0.14
1777507213,2026-04-30 00:00,0.14
1777593608,2026-05-01 00:00,0.23
1777680006,2026-05-02 00:00,0.24
1777766406,2026-05-03 00:00,0.24
1777852805,2026-05-04 00:00,0.25
1777939219,2026-05-05 00:00,0.245
1778025609,2026-05-06 00:00,0.235
1778112009,2026-05-07 00:00,0.19
1778198405,2026-05-08 00:00,0.19
1778284823,2026-05-09 00:00,0.185
1778371209,2026-05-10 00:00,0.22
1778457610,2026-05-11 00:00,0.215
1778544010,2026-05-12 00:00,0.205
1778630412,2026-05-13 00:00,0.205
1778716816,2026-05-14 00:00,0.155
1778803209,2026-05-15 00:00,0.155
1778889616,2026-05-16 00:00,0.155
1778976027,2026-05-17 00:00,0.155
1779062410,2026-05-18 00:00,0.175
1779148808,2026-05-19 00:00,0.285
1779235211,2026-05-20 00:00,0.305
1779321613,2026-05-21 00:00,0.3
1779408014,2026-05-22 00:00,0.29
1779494410,2026-05-23 00:00,0.235
1779580806,2026-05-24 00:00,0.195
1779667207,2026-05-25 00:00,0.225
1779753607,2026-05-26 00:00,0.205
1779840008,2026-05-27 00:00,0.225
1779926411,2026-05-28 00:00,0.23
1780012811,2026-05-29 00:00,0.225
1780099221,2026-05-30 00:00,0.215
1780185610,2026-05-31 00:00,0.2
1780272006,2026-06-01 00:00,0.19
1780358408,2026-06-02 00:00,0.195
1780444808,2026-06-03 00:00,0.185
1780531206,2026-06-04 00:00,0.16
1780617619,2026-06-05 00:00,0.155
1780704004,2026-06-06 00:00,0.16
1780790415,2026-06-07 00:00,0.155
1780876805,2026-06-08 00:00,0.14
1780963206,2026-06-09 00:00,0.14
1781027044,2026-06-09 17:44,0.125
