t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.755
1753920008,2025-07-31 00:00,0.68
1754006409,2025-08-01 00:00,0.725
1754092809,2025-08-02 00:00,0.755
1754179208,2025-08-03 00:00,0.845
1754265607,2025-08-04 00:00,0.785
1754352008,2025-08-05 00:00,0.845
1754438409,2025-08-06 00:00,0.8
1754524805,2025-08-07 00:00,0.855
1754611204,2025-08-08 00:00,0.88
1754697610,2025-08-09 00:00,0.905
1754784010,2025-08-10 00:00,0.945
1754870402,2025-08-11 00:00,0.945
1754956808,2025-08-12 00:00,0.945
1755043205,2025-08-13 00:00,0.945
1755129603,2025-08-14 00:00,0.945
1755216005,2025-08-15 00:00,0.94
1755302404,2025-08-16 00:00,0.935
1755388807,2025-08-17 00:00,0.935
1755475205,2025-08-18 00:00,0.925
1755561606,2025-08-19 00:00,0.92
1755648007,2025-08-20 00:00,0.935
1755734404,2025-08-21 00:00,0.935
1755820803,2025-08-22 00:00,0.935
1755907216,2025-08-23 00:00,0.935
1755993609,2025-08-24 00:00,0.805
1756080008,2025-08-25 00:00,0.64
1756166407,2025-08-26 00:00,0.75
1756252803,2025-08-27 00:00,0.73
1756339207,2025-08-28 00:00,0.73
1756425610,2025-08-29 00:00,0.73
1756512007,2025-08-30 00:00,0.995
