t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.81
1753920008,2025-07-31 00:00,0.8
1754006409,2025-08-01 00:00,0.845
1754092809,2025-08-02 00:00,0.75
1754179208,2025-08-03 00:00,0.76
1754265607,2025-08-04 00:00,0.285
1754352008,2025-08-05 00:00,0.34
1754438409,2025-08-06 00:00,0.56
1754524804,2025-08-07 00:00,0.49
1754611203,2025-08-08 00:00,0.695
1754697604,2025-08-09 00:00,0.51
1754784006,2025-08-10 00:00,0.45
1754870411,2025-08-11 00:00,0.505
1754956808,2025-08-12 00:00,0.75
1755043208,2025-08-13 00:00,0.535
1755129604,2025-08-14 00:00,0.545
1755216005,2025-08-15 00:00,0.625
1755302410,2025-08-16 00:00,0.72
1755388807,2025-08-17 00:00,0.31
1755475209,2025-08-18 00:00,0.77
1755561614,2025-08-19 00:00,0.735
1755648006,2025-08-20 00:00,0.655
1755734406,2025-08-21 00:00,0.795
1755820809,2025-08-22 00:00,0.715
1755907202,2025-08-23 00:00,0.7
1755993604,2025-08-24 00:00,0.83
1756080011,2025-08-25 00:00,0.845
1756166406,2025-08-26 00:00,0.89
1756252805,2025-08-27 00:00,0.885
1756339202,2025-08-28 00:00,0.44
