t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.775
1753920008,2025-07-31 00:00,0.79
1754006409,2025-08-01 00:00,0.685
1754092809,2025-08-02 00:00,0.66
1754179208,2025-08-03 00:00,0.66
1754265607,2025-08-04 00:00,0.375
1754352008,2025-08-05 00:00,0.26
1754438409,2025-08-06 00:00,0.51
1754524809,2025-08-07 00:00,0.275
1754611209,2025-08-08 00:00,0.395
1754697612,2025-08-09 00:00,0.46
1754784003,2025-08-10 00:00,0.525
1754870413,2025-08-11 00:00,0.525
1754956802,2025-08-12 00:00,0.52
1755043212,2025-08-13 00:00,0.51
1755129607,2025-08-14 00:00,0.505
1755216011,2025-08-15 00:00,0.75
1755302410,2025-08-16 00:00,0.7485
