t_unix,date_utc,yes_price
1753804208,2025-07-29 15:50,0.5
1753804808,2025-07-29 16:00,0.5
1753805409,2025-07-29 16:10,0.485
1753806008,2025-07-29 16:20,0.485
1753806609,2025-07-29 16:30,0.485
1753807208,2025-07-29 16:40,0.485
1753807808,2025-07-29 16:50,0.485
1753808409,2025-07-29 17:00,0.485
1753809009,2025-07-29 17:10,0.485
1753809608,2025-07-29 17:20,0.485
1753810208,2025-07-29 17:30,0.485
1753810809,2025-07-29 17:40,0.485
1753811409,2025-07-29 17:50,0.65
1753812010,2025-07-29 18:00,0.65
1753812610,2025-07-29 18:10,0.65
1753813209,2025-07-29 18:20,0.65
1753813810,2025-07-29 18:30,0.775
1753814409,2025-07-29 18:40,0.775
1753815009,2025-07-29 18:50,0.775
1753815609,2025-07-29 19:00,0.775
1753816209,2025-07-29 19:10,0.775
1753816810,2025-07-29 19:20,0.775
1753817409,2025-07-29 19:30,0.775
1753818009,2025-07-29 19:40,0.775
1753818609,2025-07-29 19:50,0.775
1753819210,2025-07-29 20:00,0.775
1753819809,2025-07-29 20:10,0.775
1753820410,2025-07-29 20:20,0.775
1753821010,2025-07-29 20:30,0.775
1753821610,2025-07-29 20:40,0.775
1753822209,2025-07-29 20:50,0.775
1753822809,2025-07-29 21:00,0.775
1753823410,2025-07-29 21:10,0.775
1753824009,2025-07-29 21:20,0.775
1753824609,2025-07-29 21:30,0.775
1753825209,2025-07-29 21:40,0.775
1753825809,2025-07-29 21:50,0.775
1753826408,2025-07-29 22:00,0.775
1753827009,2025-07-29 22:10,0.775
1753827608,2025-07-29 22:20,0.775
1753828209,2025-07-29 22:30,0.785
1753828809,2025-07-29 22:40,0.785
1753829410,2025-07-29 22:50,0.785
1753830010,2025-07-29 23:00,0.785
1753830609,2025-07-29 23:10,0.785
1753831210,2025-07-29 23:20,0.785
1753831808,2025-07-29 23:30,0.785
1753832409,2025-07-29 23:40,0.785
1753833010,2025-07-29 23:50,0.785
1753833610,2025-07-30 00:00,0.785
1753834209,2025-07-30 00:10,0.785
1753834808,2025-07-30 00:20,0.785
1753835409,2025-07-30 00:30,0.785
1753836009,2025-07-30 00:40,0.785
1753836609,2025-07-30 00:50,0.785
1753837209,2025-07-30 01:00,0.785
1753837809,2025-07-30 01:10,0.785
1753838410,2025-07-30 01:20,0.785
1753839009,2025-07-30 01:30,0.785
1753839611,2025-07-30 01:40,0.785
1753840209,2025-07-30 01:50,0.785
1753840809,2025-07-30 02:00,0.785
1753841410,2025-07-30 02:10,0.785
1753842009,2025-07-30 02:20,0.785
1753842610,2025-07-30 02:30,0.785
1753843210,2025-07-30 02:40,0.785
1753843809,2025-07-30 02:50,0.785
1753844410,2025-07-30 03:00,0.785
1753845010,2025-07-30 03:10,0.785
1753845608,2025-07-30 03:20,0.785
1753846209,2025-07-30 03:30,0.785
1753846808,2025-07-30 03:40,0.785
1753847409,2025-07-30 03:50,0.785
1753848010,2025-07-30 04:00,0.785
1753848609,2025-07-30 04:10,0.785
1753849209,2025-07-30 04:20,0.785
1753849810,2025-07-30 04:30,0.785
1753850408,2025-07-30 04:40,0.785
1753851009,2025-07-30 04:50,0.785
1753851610,2025-07-30 05:00,0.785
1753852209,2025-07-30 05:10,0.785
1753852809,2025-07-30 05:20,0.785
1753853409,2025-07-30 05:30,0.785
1753854010,2025-07-30 05:40,0.785
1753854610,2025-07-30 05:50,0.785
1753855208,2025-07-30 06:00,0.785
1753855809,2025-07-30 06:10,0.785
1753856408,2025-07-30 06:20,0.785
1753857010,2025-07-30 06:30,0.785
1753857610,2025-07-30 06:40,0.785
1753858209,2025-07-30 06:50,0.785
1753858808,2025-07-30 07:00,0.785
1753859408,2025-07-30 07:10,0.785
1753860010,2025-07-30 07:20,0.785
1753860609,2025-07-30 07:30,0.785
1753861209,2025-07-30 07:40,0.785
1753861809,2025-07-30 07:50,0.785
1753862409,2025-07-30 08:00,0.785
1753863009,2025-07-30 08:10,0.785
1753863610,2025-07-30 08:20,0.785
1753864209,2025-07-30 08:30,0.785
1753864809,2025-07-30 08:40,0.785
1753865408,2025-07-30 08:50,0.785
1753866010,2025-07-30 09:00,0.785
1753866609,2025-07-30 09:10,0.785
1753867208,2025-07-30 09:20,0.785
1753867810,2025-07-30 09:30,0.785
1753868410,2025-07-30 09:40,0.785
1753869009,2025-07-30 09:50,0.48
1753869609,2025-07-30 10:00,0.48
1753870208,2025-07-30 10:10,0.475
1753870809,2025-07-30 10:20,0.475
1753871409,2025-07-30 10:30,0.475
1753872010,2025-07-30 10:40,0.475
1753872609,2025-07-30 10:50,0.48
1753873210,2025-07-30 11:00,0.475
1753873809,2025-07-30 11:10,0.475
1753874408,2025-07-30 11:20,0.475
1753875009,2025-07-30 11:30,0.475
1753875610,2025-07-30 11:40,0.48
1753876209,2025-07-30 11:50,0.48
1753876809,2025-07-30 12:00,0.48
1753877408,2025-07-30 12:10,0.48
1753878009,2025-07-30 12:20,0.48
1753878609,2025-07-30 12:30,0.48
1753879209,2025-07-30 12:40,0.48
1753879809,2025-07-30 12:50,0.48
1753880408,2025-07-30 13:00,0.48
1753881009,2025-07-30 13:10,0.48
1753881609,2025-07-30 13:20,0.48
1753882210,2025-07-30 13:30,0.48
1753882809,2025-07-30 13:40,0.48
1753883409,2025-07-30 13:50,0.455
1753884010,2025-07-30 14:00,0.455
1753884610,2025-07-30 14:10,0.455
1753885209,2025-07-30 14:20,0.455
1753885811,2025-07-30 14:30,0.455
1753886409,2025-07-30 14:40,0.455
1753887009,2025-07-30 14:50,0.455
1753887609,2025-07-30 15:00,0.455
1753888209,2025-07-30 15:10,0.455
