t_unix,date_utc,yes_price
1756166406,2025-08-26 00:00,0.62
1756167002,2025-08-26 00:10,0.62
1756167603,2025-08-26 00:20,0.62
1756168203,2025-08-26 00:30,0.62
1756168803,2025-08-26 00:40,0.62
1756169403,2025-08-26 00:50,0.535
1756170005,2025-08-26 01:00,0.535
1756170602,2025-08-26 01:10,0.535
1756171202,2025-08-26 01:20,0.62
1756171806,2025-08-26 01:30,0.62
1756172403,2025-08-26 01:40,0.62
1756173002,2025-08-26 01:50,0.62
1756173610,2025-08-26 02:00,0.62
1756174203,2025-08-26 02:10,0.62
1756174804,2025-08-26 02:20,0.625
1756175404,2025-08-26 02:30,0.625
1756176002,2025-08-26 02:40,0.625
1756176603,2025-08-26 02:50,0.625
1756177212,2025-08-26 03:00,0.625
1756177223,2025-08-26 03:00,0.63
1756177802,2025-08-26 03:10,0.62
1756178402,2025-08-26 03:20,0.625
1756179003,2025-08-26 03:30,0.625
1756179603,2025-08-26 03:40,0.625
1756180203,2025-08-26 03:50,0.635
1756180803,2025-08-26 04:00,0.625
1756181402,2025-08-26 04:10,0.625
1756182002,2025-08-26 04:20,0.625
1756182606,2025-08-26 04:30,0.64
1756183202,2025-08-26 04:40,0.64
1756183802,2025-08-26 04:50,0.64
1756184415,2025-08-26 05:00,0.64
1756185003,2025-08-26 05:10,0.62
1756185604,2025-08-26 05:20,0.64
1756186206,2025-08-26 05:30,0.64
1756186804,2025-08-26 05:40,0.64
1756187402,2025-08-26 05:50,0.65
1756188006,2025-08-26 06:00,0.64
1756188604,2025-08-26 06:10,0.64
1756189204,2025-08-26 06:20,0.64
1756189802,2025-08-26 06:30,0.62
1756190404,2025-08-26 06:40,0.62
1756191003,2025-08-26 06:50,0.62
1756191605,2025-08-26 07:00,0.62
1756192203,2025-08-26 07:10,0.625
1756192802,2025-08-26 07:20,0.62
1756193405,2025-08-26 07:30,0.62
1756194004,2025-08-26 07:40,0.62
1756194602,2025-08-26 07:50,0.62
1756195207,2025-08-26 08:00,0.62
1756195803,2025-08-26 08:10,0.62
1756196403,2025-08-26 08:20,0.62
1756197004,2025-08-26 08:30,0.62
1756197604,2025-08-26 08:40,0.62
1756198204,2025-08-26 08:50,0.62
1756198809,2025-08-26 09:00,0.62
1756199403,2025-08-26 09:10,0.62
1756200004,2025-08-26 09:20,0.62
1756200603,2025-08-26 09:30,0.62
1756201202,2025-08-26 09:40,0.62
1756201802,2025-08-26 09:50,0.62
1756202402,2025-08-26 10:00,0.645
1756203003,2025-08-26 10:10,0.62
1756203604,2025-08-26 10:20,0.62
1756204203,2025-08-26 10:30,0.62
1756204802,2025-08-26 10:40,0.62
1756205402,2025-08-26 10:50,0.62
1756206002,2025-08-26 11:00,0.62
1756206603,2025-08-26 11:10,0.62
1756207204,2025-08-26 11:20,0.585
1756207805,2025-08-26 11:30,0.62
1756208403,2025-08-26 11:40,0.62
1756209003,2025-08-26 11:50,0.62
1756209616,2025-08-26 12:00,0.585
1756210203,2025-08-26 12:10,0.62
1756210803,2025-08-26 12:20,0.62
1756211408,2025-08-26 12:30,0.62
1756212002,2025-08-26 12:40,0.63
1756212602,2025-08-26 12:50,0.63
1756213202,2025-08-26 13:00,0.63
1756213803,2025-08-26 13:10,0.63
1756214403,2025-08-26 13:20,0.63
1756215003,2025-08-26 13:30,0.63
1756215603,2025-08-26 13:40,0.63
1756216204,2025-08-26 13:50,0.63
1756216809,2025-08-26 14:00,0.63
1756217404,2025-08-26 14:10,0.63
1756218004,2025-08-26 14:20,0.63
1756218604,2025-08-26 14:30,0.63
1756219204,2025-08-26 14:40,0.63
1756219804,2025-08-26 14:50,0.63
1756220409,2025-08-26 15:00,0.63
