t_unix,date_utc,yes_price
1754352008,2025-08-05 00:00,0.5
1754352609,2025-08-05 00:10,0.5
1754353208,2025-08-05 00:20,0.5
1754353809,2025-08-05 00:30,0.5
1754354408,2025-08-05 00:40,0.5
1754355009,2025-08-05 00:50,0.5
1754355608,2025-08-05 01:00,0.5
1754356209,2025-08-05 01:10,0.5
1754356809,2025-08-05 01:20,0.5
1754357408,2025-08-05 01:30,0.5
1754358009,2025-08-05 01:40,0.5
1754358609,2025-08-05 01:50,0.5
1754359208,2025-08-05 02:00,0.5
1754359809,2025-08-05 02:10,0.5
1754360409,2025-08-05 02:20,0.5
1754361009,2025-08-05 02:30,0.5
1754361609,2025-08-05 02:40,0.5
1754362209,2025-08-05 02:50,0.5
1754362808,2025-08-05 03:00,0.5
1754363409,2025-08-05 03:10,0.5
1754364010,2025-08-05 03:20,0.5
1754364609,2025-08-05 03:30,0.5
1754365209,2025-08-05 03:40,0.5
1754365810,2025-08-05 03:50,0.5
1754366409,2025-08-05 04:00,0.5
1754367008,2025-08-05 04:10,0.5
1754367608,2025-08-05 04:20,0.5
1754368209,2025-08-05 04:30,0.5
1754368810,2025-08-05 04:40,0.5
1754369410,2025-08-05 04:50,0.5
1754370009,2025-08-05 05:00,0.5
1754370610,2025-08-05 05:10,0.5
1754371208,2025-08-05 05:20,0.49
1754371809,2025-08-05 05:30,0.49
1754372408,2025-08-05 05:40,0.49
1754373008,2025-08-05 05:50,0.49
1754373609,2025-08-05 06:00,0.49
1754374209,2025-08-05 06:10,0.49
1754374808,2025-08-05 06:20,0.49
1754375409,2025-08-05 06:30,0.49
1754376008,2025-08-05 06:40,0.49
1754376609,2025-08-05 06:50,0.49
1754377210,2025-08-05 07:00,0.49
1754377810,2025-08-05 07:10,0.49
1754378409,2025-08-05 07:20,0.49
1754379009,2025-08-05 07:30,0.49
1754379608,2025-08-05 07:40,0.49
1754380208,2025-08-05 07:50,0.49
1754380809,2025-08-05 08:00,0.49
1754381410,2025-08-05 08:10,0.49
1754382010,2025-08-05 08:20,0.49
1754382609,2025-08-05 08:30,0.49
1754383209,2025-08-05 08:40,0.49
1754383808,2025-08-05 08:50,0.49
1754384410,2025-08-05 09:00,0.49
1754385008,2025-08-05 09:10,0.49
1754385608,2025-08-05 09:20,0.49
1754386209,2025-08-05 09:30,0.49
1754386808,2025-08-05 09:40,0.49
1754387409,2025-08-05 09:50,0.49
1754388009,2025-08-05 10:00,0.49
1754388609,2025-08-05 10:10,0.49
1754389210,2025-08-05 10:20,0.49
1754389809,2025-08-05 10:30,0.49
1754390410,2025-08-05 10:40,0.49
1754391009,2025-08-05 10:50,0.49
1754391609,2025-08-05 11:00,0.49
1754392209,2025-08-05 11:10,0.49
1754392810,2025-08-05 11:20,0.49
1754393409,2025-08-05 11:30,0.49
1754394010,2025-08-05 11:40,0.49
1754394609,2025-08-05 11:50,0.49
1754395209,2025-08-05 12:00,0.49
1754395809,2025-08-05 12:10,0.49
1754396409,2025-08-05 12:20,0.49
1754397009,2025-08-05 12:30,0.49
1754397610,2025-08-05 12:40,0.49
1754398209,2025-08-05 12:50,0.49
1754398809,2025-08-05 13:00,0.49
1754399409,2025-08-05 13:10,0.49
1754400009,2025-08-05 13:20,0.49
1754400610,2025-08-05 13:30,0.49
1754401209,2025-08-05 13:40,0.49
1754401810,2025-08-05 13:50,0.49
1754402409,2025-08-05 14:00,0.49
1754403010,2025-08-05 14:10,0.49
1754403609,2025-08-05 14:20,0.49
1754404209,2025-08-05 14:30,0.49
1754404809,2025-08-05 14:40,0.49
1754405408,2025-08-05 14:50,0.49
1754406009,2025-08-05 15:00,0.49
1754406610,2025-08-05 15:10,0.49
1754407210,2025-08-05 15:20,0.49
1754407809,2025-08-05 15:30,0.49
1754408410,2025-08-05 15:40,0.49
1754409008,2025-08-05 15:50,0.49
1754409609,2025-08-05 16:00,0.49
1754410209,2025-08-05 16:10,0.49
1754410809,2025-08-05 16:20,0.49
1754411409,2025-08-05 16:30,0.49
1754412010,2025-08-05 16:40,0.49
1754412608,2025-08-05 16:50,0.49
1754413209,2025-08-05 17:00,0.49
1754413809,2025-08-05 17:10,0.49
1754414410,2025-08-05 17:20,0.49
1754415009,2025-08-05 17:30,0.49
1754415609,2025-08-05 17:40,0.49
1754416209,2025-08-05 17:50,0.49
1754416808,2025-08-05 18:00,0.49
1754417409,2025-08-05 18:10,0.49
1754418010,2025-08-05 18:20,0.49
1754418610,2025-08-05 18:30,0.49
1754419209,2025-08-05 18:40,0.49
1754419808,2025-08-05 18:50,0.49
1754420409,2025-08-05 19:00,0.49
1754421009,2025-08-05 19:10,0.49
1754421609,2025-08-05 19:20,0.49
1754422209,2025-08-05 19:30,0.49
1754422809,2025-08-05 19:40,0.49
1754423410,2025-08-05 19:50,0.49
1754424009,2025-08-05 20:00,0.49
1754424608,2025-08-05 20:10,0.49
1754425209,2025-08-05 20:20,0.495
1754425809,2025-08-05 20:30,0.495
1754426408,2025-08-05 20:40,0.495
1754427009,2025-08-05 20:50,0.495
1754427610,2025-08-05 21:00,0.495
1754428210,2025-08-05 21:10,0.495
1754428809,2025-08-05 21:20,0.495
1754429408,2025-08-05 21:30,0.495
1754430009,2025-08-05 21:40,0.5
1754430610,2025-08-05 21:50,0.495
1754431209,2025-08-05 22:00,0.495
1754431809,2025-08-05 22:10,0.495
1754432408,2025-08-05 22:20,0.495
1754433009,2025-08-05 22:30,0.505
1754433609,2025-08-05 22:40,0.495
1754434210,2025-08-05 22:50,0.495
1754434808,2025-08-05 23:00,0.495
1754435409,2025-08-05 23:10,0.495
1754436010,2025-08-05 23:20,0.495
1754436609,2025-08-05 23:30,0.495
1754437209,2025-08-05 23:40,0.495
1754437810,2025-08-05 23:50,0.495
1754438409,2025-08-06 00:00,0.495
1754439009,2025-08-06 00:10,0.495
1754439609,2025-08-06 00:20,0.495
1754440209,2025-08-06 00:30,0.495
1754440809,2025-08-06 00:40,0.495
1754441410,2025-08-06 00:50,0.495
1754442009,2025-08-06 01:00,0.495
1754442608,2025-08-06 01:10,0.495
1754443210,2025-08-06 01:20,0.495
1754443810,2025-08-06 01:30,0.495
1754444409,2025-08-06 01:40,0.495
1754445009,2025-08-06 01:50,0.495
1754445610,2025-08-06 02:00,0.495
1754446210,2025-08-06 02:10,0.495
1754446810,2025-08-06 02:20,0.495
1754447409,2025-08-06 02:30,0.495
1754448010,2025-08-06 02:40,0.495
1754448610,2025-08-06 02:50,0.495
1754449209,2025-08-06 03:00,0.495
1754449810,2025-08-06 03:10,0.495
1754450410,2025-08-06 03:20,0.495
1754451009,2025-08-06 03:30,0.495
1754451611,2025-08-06 03:40,0.495
1754452208,2025-08-06 03:50,0.495
1754452810,2025-08-06 04:00,0.495
1754453410,2025-08-06 04:10,0.495
1754454008,2025-08-06 04:20,0.495
1754454609,2025-08-06 04:30,0.495
1754455210,2025-08-06 04:40,0.495
1754455809,2025-08-06 04:50,0.495
1754456410,2025-08-06 05:00,0.495
1754457009,2025-08-06 05:10,0.495
1754457610,2025-08-06 05:20,0.495
1754458209,2025-08-06 05:30,0.495
1754458810,2025-08-06 05:40,0.495
1754459410,2025-08-06 05:50,0.495
1754460009,2025-08-06 06:00,0.495
1754460609,2025-08-06 06:10,0.495
1754461209,2025-08-06 06:20,0.495
1754461809,2025-08-06 06:30,0.495
1754462409,2025-08-06 06:40,0.495
1754463009,2025-08-06 06:50,0.495
1754463609,2025-08-06 07:00,0.495
1754464210,2025-08-06 07:10,0.495
1754464810,2025-08-06 07:20,0.495
1754465409,2025-08-06 07:30,0.495
1754466009,2025-08-06 07:40,0.495
1754466609,2025-08-06 07:50,0.495
1754467209,2025-08-06 08:00,0.495
1754467809,2025-08-06 08:10,0.495
1754468409,2025-08-06 08:20,0.495
1754469009,2025-08-06 08:30,0.495
1754469609,2025-08-06 08:40,0.495
1754470209,2025-08-06 08:50,0.495
1754470809,2025-08-06 09:00,0.495
1754471409,2025-08-06 09:10,0.495
1754472009,2025-08-06 09:20,0.495
1754472610,2025-08-06 09:30,0.495
1754473209,2025-08-06 09:40,0.495
1754473810,2025-08-06 09:50,0.495
1754474409,2025-08-06 10:00,0.495
1754475009,2025-08-06 10:10,0.495
1754475609,2025-08-06 10:20,0.495
1754476209,2025-08-06 10:30,0.495
1754476809,2025-08-06 10:40,0.495
1754477408,2025-08-06 10:50,0.495
1754478009,2025-08-06 11:00,0.495
1754478610,2025-08-06 11:10,0.495
1754479209,2025-08-06 11:20,0.495
1754479809,2025-08-06 11:30,0.495
1754480409,2025-08-06 11:40,0.495
1754481010,2025-08-06 11:50,0.495
1754481608,2025-08-06 12:00,0.495
