t_unix,date_utc,yes_price
1754611210,2025-08-08 00:00,0.66
1754611803,2025-08-08 00:10,0.665
1754612404,2025-08-08 00:20,0.665
1754613002,2025-08-08 00:30,0.66
1754613602,2025-08-08 00:40,0.66
1754614203,2025-08-08 00:50,0.66
1754614809,2025-08-08 01:00,0.665
1754615406,2025-08-08 01:10,0.665
1754616002,2025-08-08 01:20,0.66
1754616603,2025-08-08 01:30,0.66
1754617207,2025-08-08 01:40,0.665
1754617804,2025-08-08 01:50,0.665
1754618406,2025-08-08 02:00,0.66
1754619005,2025-08-08 02:10,0.66
1754619609,2025-08-08 02:20,0.665
1754620212,2025-08-08 02:30,0.665
1754620802,2025-08-08 02:40,0.66
1754621406,2025-08-08 02:50,0.66
1754622007,2025-08-08 03:00,0.66
1754622602,2025-08-08 03:10,0.665
1754623203,2025-08-08 03:20,0.665
1754623802,2025-08-08 03:30,0.66
1754624412,2025-08-08 03:40,0.66
1754625003,2025-08-08 03:50,0.665
1754625608,2025-08-08 04:00,0.665
1754626204,2025-08-08 04:10,0.66
1754626805,2025-08-08 04:20,0.66
1754627408,2025-08-08 04:30,0.665
1754628012,2025-08-08 04:40,0.665
1754628606,2025-08-08 04:50,0.66
1754629207,2025-08-08 05:00,0.66
1754629802,2025-08-08 05:10,0.665
1754630402,2025-08-08 05:20,0.665
1754631010,2025-08-08 05:30,0.66
1754631610,2025-08-08 05:40,0.66
1754632204,2025-08-08 05:50,0.665
1754632805,2025-08-08 06:00,0.665
1754633407,2025-08-08 06:10,0.66
1754634010,2025-08-08 06:20,0.66
1754634613,2025-08-08 06:30,0.665
1754635204,2025-08-08 06:40,0.665
1754635804,2025-08-08 06:50,0.66
1754636404,2025-08-08 07:00,0.66
1754637012,2025-08-08 07:10,0.665
1754637609,2025-08-08 07:20,0.665
1754638202,2025-08-08 07:30,0.66
1754638812,2025-08-08 07:40,0.66
1754639402,2025-08-08 07:50,0.66
1754640002,2025-08-08 08:00,0.665
1754640608,2025-08-08 08:10,0.665
1754641208,2025-08-08 08:20,0.66
1754641814,2025-08-08 08:30,0.66
1754642407,2025-08-08 08:40,0.66
1754643014,2025-08-08 08:50,0.665
1754643615,2025-08-08 09:00,0.665
1754644202,2025-08-08 09:10,0.66
1754644805,2025-08-08 09:20,0.66
1754645414,2025-08-08 09:30,0.665
1754646011,2025-08-08 09:40,0.665
1754646609,2025-08-08 09:50,0.66
1754647208,2025-08-08 10:00,0.66
1754647805,2025-08-08 10:10,0.66
1754648412,2025-08-08 10:20,0.665
1754649002,2025-08-08 10:30,0.665
1754649604,2025-08-08 10:40,0.66
1754650213,2025-08-08 10:50,0.66
1754650810,2025-08-08 11:00,0.665
1754651403,2025-08-08 11:10,0.665
1754652003,2025-08-08 11:20,0.66
1754652612,2025-08-08 11:30,0.66
1754653204,2025-08-08 11:40,0.665
1754653802,2025-08-08 11:50,0.665
1754654415,2025-08-08 12:00,0.665
1754655002,2025-08-08 12:10,0.66
1754655605,2025-08-08 12:20,0.66
1754656203,2025-08-08 12:30,0.665
1754656802,2025-08-08 12:40,0.665
1754657403,2025-08-08 12:50,0.66
1754658011,2025-08-08 13:00,0.66
1754658608,2025-08-08 13:10,0.66
1754659203,2025-08-08 13:20,0.665
1754659808,2025-08-08 13:30,0.665
1754660405,2025-08-08 13:40,0.665
1754661003,2025-08-08 13:50,0.66
1754661615,2025-08-08 14:00,0.66
1754662212,2025-08-08 14:10,0.66
1754662803,2025-08-08 14:20,0.665
1754663405,2025-08-08 14:30,0.665
1754664010,2025-08-08 14:40,0.66
1754664610,2025-08-08 14:50,0.66
1754665209,2025-08-08 15:00,0.66
1754665813,2025-08-08 15:10,0.665
