t_unix,date_utc,yes_price
1755302406,2025-08-16 00:00,0.545
1755303003,2025-08-16 00:10,0.54
1755303604,2025-08-16 00:20,0.54
1755304208,2025-08-16 00:30,0.545
1755304804,2025-08-16 00:40,0.545
1755305407,2025-08-16 00:50,0.545
1755306004,2025-08-16 01:00,0.545
1755306604,2025-08-16 01:10,0.55
1755307206,2025-08-16 01:20,0.55
1755307810,2025-08-16 01:30,0.55
1755308408,2025-08-16 01:40,0.555
1755309009,2025-08-16 01:50,0.555
1755309602,2025-08-16 02:00,0.55
1755310202,2025-08-16 02:10,0.505
1755310806,2025-08-16 02:20,0.51
1755311404,2025-08-16 02:30,0.51
1755312011,2025-08-16 02:40,0.51
1755312602,2025-08-16 02:50,0.515
1755313207,2025-08-16 03:00,0.515
1755313802,2025-08-16 03:10,0.51
1755314403,2025-08-16 03:20,0.51
1755315002,2025-08-16 03:30,0.515
1755315603,2025-08-16 03:40,0.515
1755316202,2025-08-16 03:50,0.515
1755316814,2025-08-16 04:00,0.52
1755317412,2025-08-16 04:10,0.52
1755318008,2025-08-16 04:20,0.52
1755318616,2025-08-16 04:30,0.52
1755319213,2025-08-16 04:40,0.525
1755319814,2025-08-16 04:50,0.525
1755320415,2025-08-16 05:00,0.52
1755321004,2025-08-16 05:10,0.525
1755321611,2025-08-16 05:20,0.525
1755322207,2025-08-16 05:30,0.525
1755322812,2025-08-16 05:40,0.53
1755323405,2025-08-16 05:50,0.53
1755324007,2025-08-16 06:00,0.53
1755324605,2025-08-16 06:10,0.53
1755325210,2025-08-16 06:20,0.535
1755325807,2025-08-16 06:30,0.535
1755326404,2025-08-16 06:40,0.535
1755327003,2025-08-16 06:50,0.54
1755327604,2025-08-16 07:00,0.54
1755328208,2025-08-16 07:10,0.54
1755328811,2025-08-16 07:20,0.545
1755329410,2025-08-16 07:30,0.545
1755330003,2025-08-16 07:40,0.54
1755330602,2025-08-16 07:50,0.54
1755331207,2025-08-16 08:00,0.545
1755331804,2025-08-16 08:10,0.545
1755332413,2025-08-16 08:20,0.54
1755333011,2025-08-16 08:30,0.545
1755333609,2025-08-16 08:40,0.545
1755334203,2025-08-16 08:50,0.545
1755334803,2025-08-16 09:00,0.55
1755335410,2025-08-16 09:10,0.55
1755336003,2025-08-16 09:20,0.55
1755336606,2025-08-16 09:30,0.555
1755337203,2025-08-16 09:40,0.555
1755337802,2025-08-16 09:50,0.51
1755338407,2025-08-16 10:00,0.51
1755339003,2025-08-16 10:10,0.515
1755339604,2025-08-16 10:20,0.515
1755340205,2025-08-16 10:30,0.515
1755340808,2025-08-16 10:40,0.52
1755341407,2025-08-16 10:50,0.52
1755342012,2025-08-16 11:00,0.515
1755342604,2025-08-16 11:10,0.52
1755343203,2025-08-16 11:20,0.52
1755343806,2025-08-16 11:30,0.515
1755344402,2025-08-16 11:40,0.52
1755345004,2025-08-16 11:50,0.52
1755345613,2025-08-16 12:00,0.52
1755346203,2025-08-16 12:10,0.515
1755346802,2025-08-16 12:20,0.52
1755347406,2025-08-16 12:30,0.52
1755348003,2025-08-16 12:40,0.52
1755348603,2025-08-16 12:50,0.525
1755349210,2025-08-16 13:00,0.525
1755349802,2025-08-16 13:10,0.525
1755350413,2025-08-16 13:20,0.53
1755351005,2025-08-16 13:30,0.53
1755351602,2025-08-16 13:40,0.53
1755352207,2025-08-16 13:50,0.53
1755352816,2025-08-16 14:00,0.535
1755353403,2025-08-16 14:10,0.535
1755354002,2025-08-16 14:20,0.535
1755354605,2025-08-16 14:30,0.54
1755355212,2025-08-16 14:40,0.565
1755355813,2025-08-16 14:50,0.53
1755356416,2025-08-16 15:00,0.525
1755357005,2025-08-16 15:10,0.535
1755357610,2025-08-16 15:20,0.53
1755358207,2025-08-16 15:30,0.525
1755358814,2025-08-16 15:40,0.53
1755359404,2025-08-16 15:50,0.53
1755360004,2025-08-16 16:00,0.525
1755360612,2025-08-16 16:10,0.525
1755361208,2025-08-16 16:20,0.53
1755361815,2025-08-16 16:30,0.53
1755362407,2025-08-16 16:40,0.525
1755363003,2025-08-16 16:50,0.525
1755363611,2025-08-16 17:00,0.53
1755364213,2025-08-16 17:10,0.53
1755364803,2025-08-16 17:20,0.525
1755365403,2025-08-16 17:30,0.53
1755366003,2025-08-16 17:40,0.53
1755366609,2025-08-16 17:50,0.525
1755367212,2025-08-16 18:00,0.525
1755367802,2025-08-16 18:10,0.53
1755368407,2025-08-16 18:20,0.53
1755369009,2025-08-16 18:30,0.525
1755369609,2025-08-16 18:40,0.53
1755370204,2025-08-16 18:50,0.53
1755370802,2025-08-16 19:00,0.53
1755371402,2025-08-16 19:10,0.525
1755372003,2025-08-16 19:20,0.53
1755372605,2025-08-16 19:30,0.53
1755373204,2025-08-16 19:40,0.525
1755373813,2025-08-16 19:50,0.53
1755374404,2025-08-16 20:00,0.535
1755375002,2025-08-16 20:10,0.535
1755375602,2025-08-16 20:20,0.525
1755376203,2025-08-16 20:30,0.525
1755376803,2025-08-16 20:40,0.53
1755377402,2025-08-16 20:50,0.53
1755378014,2025-08-16 21:00,0.525
1755378610,2025-08-16 21:10,0.525
1755379213,2025-08-16 21:20,0.53
1755379817,2025-08-16 21:30,0.53
1755380414,2025-08-16 21:40,0.525
1755381005,2025-08-16 21:50,0.53
1755381611,2025-08-16 22:00,0.53
1755382202,2025-08-16 22:10,0.525
1755382811,2025-08-16 22:20,0.525
1755383404,2025-08-16 22:30,0.53
1755384003,2025-08-16 22:40,0.53
1755384604,2025-08-16 22:50,0.525
1755385202,2025-08-16 23:00,0.525
1755385803,2025-08-16 23:10,0.53
1755386402,2025-08-16 23:20,0.53
1755387008,2025-08-16 23:30,0.525
1755387614,2025-08-16 23:40,0.525
1755388203,2025-08-16 23:50,0.53
1755388812,2025-08-17 00:00,0.53
1755389407,2025-08-17 00:10,0.525
1755390004,2025-08-17 00:20,0.525
1755390610,2025-08-17 00:30,0.53
1755391209,2025-08-17 00:40,0.53
1755391808,2025-08-17 00:50,0.525
1755392407,2025-08-17 01:00,0.525
1755393003,2025-08-17 01:10,0.53
1755393612,2025-08-17 01:20,0.53
1755394214,2025-08-17 01:30,0.525
1755394812,2025-08-17 01:40,0.53
1755395402,2025-08-17 01:50,0.53
1755396004,2025-08-17 02:00,0.525
1755396602,2025-08-17 02:10,0.525
1755397211,2025-08-17 02:20,0.53
1755397810,2025-08-17 02:30,0.53
1755398413,2025-08-17 02:40,0.525
1755399002,2025-08-17 02:50,0.525
1755399608,2025-08-17 03:00,0.53
1755400207,2025-08-17 03:10,0.53
1755400809,2025-08-17 03:20,0.525
1755401411,2025-08-17 03:30,0.53
1755402007,2025-08-17 03:40,0.53
1755402608,2025-08-17 03:50,0.525
1755403205,2025-08-17 04:00,0.525
1755403803,2025-08-17 04:10,0.53
1755404409,2025-08-17 04:20,0.53
1755405017,2025-08-17 04:30,0.525
1755405604,2025-08-17 04:40,0.525
1755406213,2025-08-17 04:50,0.53
1755406812,2025-08-17 05:00,0.53
1755407408,2025-08-17 05:10,0.525
1755408002,2025-08-17 05:20,0.53
1755408604,2025-08-17 05:30,0.53
1755409203,2025-08-17 05:40,0.525
1755409803,2025-08-17 05:50,0.525
1755410404,2025-08-17 06:00,0.53
1755411010,2025-08-17 06:10,0.53
1755411602,2025-08-17 06:20,0.525
1755412207,2025-08-17 06:30,0.53
1755412804,2025-08-17 06:40,0.53
1755413405,2025-08-17 06:50,0.525
1755414002,2025-08-17 07:00,0.525
1755414604,2025-08-17 07:10,0.53
1755415202,2025-08-17 07:20,0.53
1755415802,2025-08-17 07:30,0.525
1755416402,2025-08-17 07:40,0.53
1755417004,2025-08-17 07:50,0.53
1755417610,2025-08-17 08:00,0.525
1755418202,2025-08-17 08:10,0.525
