t_unix,date_utc,yes_price
1756252803,2025-08-27 00:00,0.73
1756253403,2025-08-27 00:10,0.73
1756254002,2025-08-27 00:20,0.73
1756254611,2025-08-27 00:30,0.73
1756255210,2025-08-27 00:40,0.73
1756255809,2025-08-27 00:50,0.73
1756256414,2025-08-27 01:00,0.73
1756257002,2025-08-27 01:10,0.73
1756257603,2025-08-27 01:20,0.73
1756258207,2025-08-27 01:30,0.73
1756258803,2025-08-27 01:40,0.73
1756259402,2025-08-27 01:50,0.73
1756260014,2025-08-27 02:00,0.73
1756260609,2025-08-27 02:10,0.73
1756261202,2025-08-27 02:20,0.73
1756261804,2025-08-27 02:30,0.73
1756262406,2025-08-27 02:40,0.73
1756263009,2025-08-27 02:50,0.73
1756263606,2025-08-27 03:00,0.73
1756264207,2025-08-27 03:10,0.73
1756264803,2025-08-27 03:20,0.73
1756265403,2025-08-27 03:30,0.73
1756266004,2025-08-27 03:40,0.73
1756266602,2025-08-27 03:50,0.73
1756267211,2025-08-27 04:00,0.73
1756267805,2025-08-27 04:10,0.73
1756268409,2025-08-27 04:20,0.73
1756269020,2025-08-27 04:30,0.73
1756269612,2025-08-27 04:40,0.73
1756270216,2025-08-27 04:50,0.73
1756270802,2025-08-27 05:00,0.73
1756271406,2025-08-27 05:10,0.73
1756272006,2025-08-27 05:20,0.73
1756272607,2025-08-27 05:30,0.73
1756273205,2025-08-27 05:40,0.73
1756273805,2025-08-27 05:50,0.73
1756274418,2025-08-27 06:00,0.73
1756275008,2025-08-27 06:10,0.73
1756275608,2025-08-27 06:20,0.73
1756276202,2025-08-27 06:30,0.73
1756276804,2025-08-27 06:40,0.73
1756277403,2025-08-27 06:50,0.73
1756278006,2025-08-27 07:00,0.73
1756278613,2025-08-27 07:10,0.73
1756279210,2025-08-27 07:20,0.73
1756279804,2025-08-27 07:30,0.73
1756280406,2025-08-27 07:40,0.73
1756281009,2025-08-27 07:50,0.73
1756281616,2025-08-27 08:00,0.73
1756282211,2025-08-27 08:10,0.73
1756282808,2025-08-27 08:20,0.73
1756283416,2025-08-27 08:30,0.73
1756284013,2025-08-27 08:40,0.73
1756284607,2025-08-27 08:50,0.73
1756285207,2025-08-27 09:00,0.73
1756285824,2025-08-27 09:10,0.73
1756285842,2025-08-27 09:10,0.73
1756286407,2025-08-27 09:20,0.73
1756287009,2025-08-27 09:30,0.73
1756287605,2025-08-27 09:40,0.73
1756288203,2025-08-27 09:50,0.73
1756288816,2025-08-27 10:00,0.73
1756289402,2025-08-27 10:10,0.73
