t_unix,date_utc,yes_price
1754006409,2025-08-01 00:00,0.685
1754007009,2025-08-01 00:10,0.685
1754007610,2025-08-01 00:20,0.685
1754008209,2025-08-01 00:30,0.685
1754008809,2025-08-01 00:40,0.685
1754009410,2025-08-01 00:50,0.685
1754010009,2025-08-01 01:00,0.685
1754010608,2025-08-01 01:10,0.685
1754011211,2025-08-01 01:20,0.685
1754011808,2025-08-01 01:30,0.685
1754012410,2025-08-01 01:40,0.685
1754013009,2025-08-01 01:50,0.685
1754013610,2025-08-01 02:00,0.685
1754014210,2025-08-01 02:10,0.685
1754014809,2025-08-01 02:20,0.685
1754015409,2025-08-01 02:30,0.685
1754016010,2025-08-01 02:40,0.685
1754016609,2025-08-01 02:50,0.685
1754017208,2025-08-01 03:00,0.685
1754017809,2025-08-01 03:10,0.685
1754018409,2025-08-01 03:20,0.685
1754019009,2025-08-01 03:30,0.685
1754019608,2025-08-01 03:40,0.685
1754020209,2025-08-01 03:50,0.685
1754020809,2025-08-01 04:00,0.685
1754021408,2025-08-01 04:10,0.685
1754022009,2025-08-01 04:20,0.685
1754022608,2025-08-01 04:30,0.685
1754023208,2025-08-01 04:40,0.685
1754023809,2025-08-01 04:50,0.685
1754024408,2025-08-01 05:00,0.685
1754025009,2025-08-01 05:10,0.685
1754025608,2025-08-01 05:20,0.685
1754026209,2025-08-01 05:30,0.685
1754026808,2025-08-01 05:40,0.685
1754027410,2025-08-01 05:50,0.685
1754028008,2025-08-01 06:00,0.685
1754028609,2025-08-01 06:10,0.685
1754029208,2025-08-01 06:20,0.685
1754029809,2025-08-01 06:30,0.685
1754030408,2025-08-01 06:40,0.685
1754031009,2025-08-01 06:50,0.685
1754031608,2025-08-01 07:00,0.685
1754032209,2025-08-01 07:10,0.685
1754032808,2025-08-01 07:20,0.685
1754033408,2025-08-01 07:30,0.685
1754034008,2025-08-01 07:40,0.685
1754034608,2025-08-01 07:50,0.685
1754035208,2025-08-01 08:00,0.685
1754035809,2025-08-01 08:10,0.685
1754036409,2025-08-01 08:20,0.685
1754037008,2025-08-01 08:30,0.685
1754037609,2025-08-01 08:40,0.685
1754038209,2025-08-01 08:50,0.685
1754038808,2025-08-01 09:00,0.685
1754039409,2025-08-01 09:10,0.685
1754040008,2025-08-01 09:20,0.685
1754040608,2025-08-01 09:30,0.685
1754041208,2025-08-01 09:40,0.685
1754041808,2025-08-01 09:50,0.685
1754042408,2025-08-01 10:00,0.685
1754043009,2025-08-01 10:10,0.685
1754043609,2025-08-01 10:20,0.685
1754044209,2025-08-01 10:30,0.685
1754044809,2025-08-01 10:40,0.685
1754045409,2025-08-01 10:50,0.685
1754046009,2025-08-01 11:00,0.685
1754046609,2025-08-01 11:10,0.685
1754047209,2025-08-01 11:20,0.685
1754047809,2025-08-01 11:30,0.685
1754048409,2025-08-01 11:40,0.685
1754049008,2025-08-01 11:50,0.685
1754049609,2025-08-01 12:00,0.685
1754050208,2025-08-01 12:10,0.685
1754050808,2025-08-01 12:20,0.685
1754051409,2025-08-01 12:30,0.685
1754052010,2025-08-01 12:40,0.685
1754052609,2025-08-01 12:50,0.685
1754053209,2025-08-01 13:00,0.685
1754053811,2025-08-01 13:10,0.685
1754054409,2025-08-01 13:20,0.685
1754055010,2025-08-01 13:30,0.685
1754055609,2025-08-01 13:40,0.685
1754056209,2025-08-01 13:50,0.685
1754056809,2025-08-01 14:00,0.685
1754057409,2025-08-01 14:10,0.685
1754058008,2025-08-01 14:20,0.685
1754058608,2025-08-01 14:30,0.685
1754059209,2025-08-01 14:40,0.685
1754059809,2025-08-01 14:50,0.685
1754060409,2025-08-01 15:00,0.68
1754061009,2025-08-01 15:10,0.66
1754061608,2025-08-01 15:20,0.66
1754062210,2025-08-01 15:30,0.66
1754062810,2025-08-01 15:40,0.66
1754063410,2025-08-01 15:50,0.66
1754064009,2025-08-01 16:00,0.66
1754064610,2025-08-01 16:10,0.66
1754065209,2025-08-01 16:20,0.66
1754065809,2025-08-01 16:30,0.66
1754066409,2025-08-01 16:40,0.66
1754067009,2025-08-01 16:50,0.66
1754067609,2025-08-01 17:00,0.65
1754068209,2025-08-01 17:10,0.65
1754068809,2025-08-01 17:20,0.65
1754069409,2025-08-01 17:30,0.65
1754070009,2025-08-01 17:40,0.65
1754070610,2025-08-01 17:50,0.645
1754071210,2025-08-01 18:00,0.65
1754071809,2025-08-01 18:10,0.65
1754072409,2025-08-01 18:20,0.65
1754073009,2025-08-01 18:30,0.65
1754073610,2025-08-01 18:40,0.65
1754074209,2025-08-01 18:50,0.65
1754074808,2025-08-01 19:00,0.65
1754075408,2025-08-01 19:10,0.65
1754076008,2025-08-01 19:20,0.65
1754076609,2025-08-01 19:30,0.65
1754077209,2025-08-01 19:40,0.65
1754077810,2025-08-01 19:50,0.65
1754078409,2025-08-01 20:00,0.65
1754079009,2025-08-01 20:10,0.66
1754079609,2025-08-01 20:20,0.66
1754080209,2025-08-01 20:30,0.66
1754080808,2025-08-01 20:40,0.66
1754081409,2025-08-01 20:50,0.66
1754082009,2025-08-01 21:00,0.66
1754082609,2025-08-01 21:10,0.66
1754083208,2025-08-01 21:20,0.66
1754083810,2025-08-01 21:30,0.66
1754084408,2025-08-01 21:40,0.66
1754085008,2025-08-01 21:50,0.66
1754085609,2025-08-01 22:00,0.66
1754086209,2025-08-01 22:10,0.66
1754086810,2025-08-01 22:20,0.66
1754087408,2025-08-01 22:30,0.66
1754088010,2025-08-01 22:40,0.66
1754088608,2025-08-01 22:50,0.66
1754089210,2025-08-01 23:00,0.66
1754089809,2025-08-01 23:10,0.66
1754090410,2025-08-01 23:20,0.66
1754091009,2025-08-01 23:30,0.66
1754091609,2025-08-01 23:40,0.66
1754092209,2025-08-01 23:50,0.655
1754092809,2025-08-02 00:00,0.66
1754093409,2025-08-02 00:10,0.66
1754094009,2025-08-02 00:20,0.66
1754094609,2025-08-02 00:30,0.66
1754095210,2025-08-02 00:40,0.66
1754095809,2025-08-02 00:50,0.66
1754096409,2025-08-02 01:00,0.66
1754097010,2025-08-02 01:10,0.66
1754097609,2025-08-02 01:20,0.66
1754098209,2025-08-02 01:30,0.66
1754098809,2025-08-02 01:40,0.66
1754099409,2025-08-02 01:50,0.66
1754100009,2025-08-02 02:00,0.66
1754100609,2025-08-02 02:10,0.66
1754101209,2025-08-02 02:20,0.66
1754101809,2025-08-02 02:30,0.66
1754102410,2025-08-02 02:40,0.66
1754103009,2025-08-02 02:50,0.66
1754103609,2025-08-02 03:00,0.66
1754104209,2025-08-02 03:10,0.66
1754104809,2025-08-02 03:20,0.635
1754105410,2025-08-02 03:30,0.66
1754106009,2025-08-02 03:40,0.635
1754106608,2025-08-02 03:50,0.635
1754107209,2025-08-02 04:00,0.635
1754107809,2025-08-02 04:10,0.635
1754108408,2025-08-02 04:20,0.635
1754109009,2025-08-02 04:30,0.635
1754109608,2025-08-02 04:40,0.635
1754110209,2025-08-02 04:50,0.635
1754110809,2025-08-02 05:00,0.635
1754111409,2025-08-02 05:10,0.635
1754112009,2025-08-02 05:20,0.635
1754112609,2025-08-02 05:30,0.635
1754113209,2025-08-02 05:40,0.635
1754113809,2025-08-02 05:50,0.635
1754114409,2025-08-02 06:00,0.635
1754115010,2025-08-02 06:10,0.635
1754115609,2025-08-02 06:20,0.635
1754116210,2025-08-02 06:30,0.635
1754116810,2025-08-02 06:40,0.635
1754117409,2025-08-02 06:50,0.635
1754118009,2025-08-02 07:00,0.635
1754118609,2025-08-02 07:10,0.635
1754119209,2025-08-02 07:20,0.635
1754119809,2025-08-02 07:30,0.635
1754120409,2025-08-02 07:40,0.635
1754121009,2025-08-02 07:50,0.635
1754121609,2025-08-02 08:00,0.67
1754122209,2025-08-02 08:10,0.67
1754122809,2025-08-02 08:20,0.665
1754123408,2025-08-02 08:30,0.665
1754124009,2025-08-02 08:40,0.67
1754124609,2025-08-02 08:50,0.67
1754125209,2025-08-02 09:00,0.665
1754125810,2025-08-02 09:10,0.665
1754126410,2025-08-02 09:20,0.67
1754127009,2025-08-02 09:30,0.665
1754127609,2025-08-02 09:40,0.665
1754128209,2025-08-02 09:50,0.665
1754128809,2025-08-02 10:00,0.67
1754129409,2025-08-02 10:10,0.665
1754130009,2025-08-02 10:20,0.665
1754130610,2025-08-02 10:30,0.67
1754131209,2025-08-02 10:40,0.67
1754131808,2025-08-02 10:50,0.665
1754132409,2025-08-02 11:00,0.665
1754133009,2025-08-02 11:10,0.67
1754133609,2025-08-02 11:20,0.665
1754134210,2025-08-02 11:30,0.665
1754134808,2025-08-02 11:40,0.665
1754135409,2025-08-02 11:50,0.665
1754136010,2025-08-02 12:00,0.66
1754136608,2025-08-02 12:10,0.66
1754137209,2025-08-02 12:20,0.665
1754137808,2025-08-02 12:30,0.66
1754138409,2025-08-02 12:40,0.66
1754139008,2025-08-02 12:50,0.665
1754139609,2025-08-02 13:00,0.665
1754140209,2025-08-02 13:10,0.66
1754140809,2025-08-02 13:20,0.66
1754141409,2025-08-02 13:30,0.665
1754142009,2025-08-02 13:40,0.665
1754142609,2025-08-02 13:50,0.66
1754143209,2025-08-02 14:00,0.66
1754143808,2025-08-02 14:10,0.665
1754144410,2025-08-02 14:20,0.66
1754145008,2025-08-02 14:30,0.66
1754145609,2025-08-02 14:40,0.665
1754146209,2025-08-02 14:50,0.665
1754146810,2025-08-02 15:00,0.66
1754147409,2025-08-02 15:10,0.66
1754148009,2025-08-02 15:20,0.66
1754148609,2025-08-02 15:30,0.66
1754149209,2025-08-02 15:40,0.66
1754149810,2025-08-02 15:50,0.66
1754150409,2025-08-02 16:00,0.66
1754151009,2025-08-02 16:10,0.66
1754151608,2025-08-02 16:20,0.66
1754152210,2025-08-02 16:30,0.66
1754152810,2025-08-02 16:40,0.66
1754153409,2025-08-02 16:50,0.66
1754154010,2025-08-02 17:00,0.66
1754154609,2025-08-02 17:10,0.66
1754155209,2025-08-02 17:20,0.66
1754155809,2025-08-02 17:30,0.66
1754156409,2025-08-02 17:40,0.66
1754157009,2025-08-02 17:50,0.66
1754157609,2025-08-02 18:00,0.66
1754158210,2025-08-02 18:10,0.66
1754158808,2025-08-02 18:20,0.66
1754159409,2025-08-02 18:30,0.66
1754160008,2025-08-02 18:40,0.66
1754160609,2025-08-02 18:50,0.66
1754161208,2025-08-02 19:00,0.66
1754161809,2025-08-02 19:10,0.66
1754162409,2025-08-02 19:20,0.66
1754163009,2025-08-02 19:30,0.66
1754163608,2025-08-02 19:40,0.66
1754164208,2025-08-02 19:50,0.66
1754164810,2025-08-02 20:00,0.66
1754165408,2025-08-02 20:10,0.66
1754166010,2025-08-02 20:20,0.66
1754166610,2025-08-02 20:30,0.66
1754167209,2025-08-02 20:40,0.66
1754167810,2025-08-02 20:50,0.66
1754168409,2025-08-02 21:00,0.66
1754169008,2025-08-02 21:10,0.66
1754169608,2025-08-02 21:20,0.66
1754170208,2025-08-02 21:30,0.66
1754170808,2025-08-02 21:40,0.66
1754171408,2025-08-02 21:50,0.66
1754172009,2025-08-02 22:00,0.66
1754172609,2025-08-02 22:10,0.66
1754173208,2025-08-02 22:20,0.66
1754173809,2025-08-02 22:30,0.66
1754174408,2025-08-02 22:40,0.66
1754175008,2025-08-02 22:50,0.66
1754175609,2025-08-02 23:00,0.66
1754176209,2025-08-02 23:10,0.66
1754176808,2025-08-02 23:20,0.66
1754177408,2025-08-02 23:30,0.66
1754178008,2025-08-02 23:40,0.66
1754178609,2025-08-02 23:50,0.66
1754179208,2025-08-03 00:00,0.66
1754179809,2025-08-03 00:10,0.66
1754180409,2025-08-03 00:20,0.66
1754181008,2025-08-03 00:30,0.66
1754181610,2025-08-03 00:40,0.66
1754182208,2025-08-03 00:50,0.66
1754182809,2025-08-03 01:00,0.66
1754183409,2025-08-03 01:10,0.66
1754184009,2025-08-03 01:20,0.66
1754184608,2025-08-03 01:30,0.66
1754185208,2025-08-03 01:40,0.66
1754185809,2025-08-03 01:50,0.66
1754186410,2025-08-03 02:00,0.66
1754187009,2025-08-03 02:10,0.66
1754187610,2025-08-03 02:20,0.66
1754188208,2025-08-03 02:30,0.66
1754188808,2025-08-03 02:40,0.66
1754189410,2025-08-03 02:50,0.66
1754190009,2025-08-03 03:00,0.25
1754190608,2025-08-03 03:10,0.25
1754191208,2025-08-03 03:20,0.25
1754191808,2025-08-03 03:30,0.25
1754192408,2025-08-03 03:40,0.25
1754193009,2025-08-03 03:50,0.25
1754193608,2025-08-03 04:00,0.25
1754194208,2025-08-03 04:10,0.25
