t_unix,date_utc,yes_price
1750188607,2025-06-17 19:30,0.5
1750189208,2025-06-17 19:40,0.5
1750189808,2025-06-17 19:50,0.5
1750190408,2025-06-17 20:00,0.5
1750191006,2025-06-17 20:10,0.5
1750191608,2025-06-17 20:20,0.5
1750192208,2025-06-17 20:30,0.5
1750192807,2025-06-17 20:40,0.5
1750193407,2025-06-17 20:50,0.5
1750194008,2025-06-17 21:00,0.5
1750194608,2025-06-17 21:10,0.5
1750195207,2025-06-17 21:20,0.5
1750195807,2025-06-17 21:30,0.5
1750196407,2025-06-17 21:40,0.5
1750197007,2025-06-17 21:50,0.5
1750197608,2025-06-17 22:00,0.525
1750198207,2025-06-17 22:10,0.57
1750198807,2025-06-17 22:20,0.57
1750199407,2025-06-17 22:30,0.62
1750200007,2025-06-17 22:40,0.62
1750200608,2025-06-17 22:50,0.625
1750201207,2025-06-17 23:00,0.62
1750201808,2025-06-17 23:10,0.62
1750202408,2025-06-17 23:20,0.62
1750203008,2025-06-17 23:30,0.62
1750203607,2025-06-17 23:40,0.62
1750204208,2025-06-17 23:50,0.62
1750204808,2025-06-18 00:00,0.62
1750205407,2025-06-18 00:10,0.62
1750206007,2025-06-18 00:20,0.635
1750206609,2025-06-18 00:30,0.635
1750207207,2025-06-18 00:40,0.635
1750207808,2025-06-18 00:50,0.635
1750208408,2025-06-18 01:00,0.635
1750209007,2025-06-18 01:10,0.635
1750209607,2025-06-18 01:20,0.635
1750210208,2025-06-18 01:30,0.635
1750210807,2025-06-18 01:40,0.635
1750211408,2025-06-18 01:50,0.635
1750212008,2025-06-18 02:00,0.635
1750212607,2025-06-18 02:10,0.635
1750213207,2025-06-18 02:20,0.635
1750213808,2025-06-18 02:30,0.635
1750214407,2025-06-18 02:40,0.635
1750215007,2025-06-18 02:50,0.635
1750215608,2025-06-18 03:00,0.635
1750216209,2025-06-18 03:10,0.635
1750216808,2025-06-18 03:20,0.635
1750217407,2025-06-18 03:30,0.635
1750218007,2025-06-18 03:40,0.64
1750218608,2025-06-18 03:50,0.64
1750219207,2025-06-18 04:00,0.64
1750219807,2025-06-18 04:10,0.64
1750220408,2025-06-18 04:20,0.64
1750221008,2025-06-18 04:30,0.64
1750221607,2025-06-18 04:40,0.64
1750222208,2025-06-18 04:50,0.64
1750222808,2025-06-18 05:00,0.64
1750223407,2025-06-18 05:10,0.64
1750224007,2025-06-18 05:20,0.64
1750224608,2025-06-18 05:30,0.64
1750225208,2025-06-18 05:40,0.64
1750225807,2025-06-18 05:50,0.64
1750226408,2025-06-18 06:00,0.64
1750227007,2025-06-18 06:10,0.64
1750227608,2025-06-18 06:20,0.665
1750228208,2025-06-18 06:30,0.68
1750228807,2025-06-18 06:40,0.7
1750229407,2025-06-18 06:50,0.7
1750230008,2025-06-18 07:00,0.705
1750230608,2025-06-18 07:10,0.705
1750231208,2025-06-18 07:20,0.71
1750231807,2025-06-18 07:30,0.71
1750232406,2025-06-18 07:40,0.715
1750233007,2025-06-18 07:50,0.725
1750233608,2025-06-18 08:00,0.73
1750234208,2025-06-18 08:10,0.73
1750234808,2025-06-18 08:20,0.735
1750235407,2025-06-18 08:30,0.745
1750236007,2025-06-18 08:40,0.77
1750236608,2025-06-18 08:50,0.775
1750237208,2025-06-18 09:00,0.775
1750237808,2025-06-18 09:10,0.78
1750238407,2025-06-18 09:20,0.79
1750239007,2025-06-18 09:30,0.79
1750239607,2025-06-18 09:40,0.8
1750240208,2025-06-18 09:50,0.815
1750240807,2025-06-18 10:00,0.81
1750241408,2025-06-18 10:10,0.82
1750242007,2025-06-18 10:20,0.83
1750242608,2025-06-18 10:30,0.825
1750243208,2025-06-18 10:40,0.83
1750243808,2025-06-18 10:50,0.83
1750244408,2025-06-18 11:00,0.825
1750245007,2025-06-18 11:10,0.83
1750245607,2025-06-18 11:20,0.83
1750246207,2025-06-18 11:30,0.83
